City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,qaqortoq,60.7167,-46.0333,-14.55,71,100,4.94,GL,1706667338
214,medicine hat,50.0501,-110.6683,10.24,62,75,1.54,CA,1706667301
215,itoman,26.1247,127.6694,26.43,68,20,7.2,JP,1706667338
216,sur,22.5667,59.5289,22.86,76,100,1.77,OM,1706667338
217,solnechnyy,50.7214,136.6319,-20.32,92,98,1.2,RU,1706667338
218,saint-louis,16.3333,-15.0,21.33,12,0,4.63,SN,1706667338
219,puerto armuelles,8.2833,-82.8667,28.99,66,42,1.34,PA,1706667339
220,talnakh,69.4865,88.3972,-18.22,79,100,4.61,RU,1706667339
221,kununurra,-15.7667,128.7333,29.99,66,25,3.6,AU,1706667339
222,stephenville,32.2207,-98.2023,16.07,39,0,0.0,US,1706667339
223,saudarkrokur,65.7461,-19.6394,-5.7,86,100,5.61,IS,1706667339
224,new norfolk,-42.7826,147.0587,23.17,28,76,2.16,AU,1706667340
225,sovetskaya gavan',48.9723,140.2878,-14.94,64,78,1.98,RU,1706667340
226,springbok,-29.6643,17.8865,21.14,37,3,0.89,ZA,1706667340
227,vorkuta,67.5,64.0,-13.09,96,100,4.5,RU,1706667340
228,arno,60.1167,18.6333,1.55,100,100,2.85,SE,1706667341
229,fada,9.5667,8.3,20.43,26,4,3.16,NG,1706667341
230,madalena,41.2162,-8.3345,13.5,87,100,1.78,PT,1706667341
231,illela,13.7292,5.2975,20.05,20,32,6.84,NG,1706667341
232,tamanrasset,22.785,5.5228,10.95,40,0,8.75,DZ,1706667341
233,kourou,5.1552,-52.6478,26.03,89,8,3.17,GF,1706667341
234,bardai,11.65,7.2333,18.9,19,60,5.27,NG,1706667341
235,kavaratti,10.5669,72.642,27.56,68,23,3.39,IN,1706667342
236,punta arenas,-53.15,-70.9167,10.06,62,0,11.32,CL,1706667342
237,bay roberts,47.5999,-53.2648,-4.72,81,97,5.81,CA,1706667342
238,pionerskiy,54.9508,20.2275,3.91,85,100,6.49,RU,1706667342
239,altay,47.8667,88.1167,-12.93,71,100,1.77,CN,1706667342
240,ciudad bolivar,8.1222,-63.5497,29.49,58,78,4.86,VE,1706667343
241,cabedelo,-6.9811,-34.8339,26.37,73,4,3.79,BR,1706667343
242,hilton head island,32.2163,-80.7526,11.1,78,0,0.0,US,1706667343
243,lobujya,27.95,86.8167,-17.81,34,0,1.56,NP,1706667343
244,tralee,52.2704,-9.7026,5.56,89,100,4.09,IE,1706667343
245,ak-dovurak,51.1833,90.6,-25.5,98,100,0.45,RU,1706667344
246,charters towers,-20.1,146.2667,35.32,42,65,2.49,AU,1706667344
247,lake havasu city,34.4839,-114.3224,20.81,31,0,2.57,US,1706667344
248,puerto ayora,-0.7393,-90.3518,25.36,89,95,3.72,EC,1706667344
249,atar,20.5169,-13.0499,17.64,13,0,3.67,MR,1706667344
250,laguna,38.421,-121.4238,18.55,76,0,3.09,US,1706667179
251,carauari,-4.8828,-66.8958,24.53,93,100,1.47,BR,1706667344
252,taggia,43.8485,7.8545,11.6,68,39,1.11,IT,1706667345
253,evanston,42.0411,-87.6901,4.0,81,100,4.12,US,1706667345
254,al burayqah,30.4062,19.5739,12.46,64,62,9.0,LY,1706667345
255,tabou,4.423,-7.3528,26.69,84,83,3.13,CI,1706667345
